#site1    site2      values
191       215      0.054
192       193      0.054
192       215      0.054
192       216      0.054
192       239      0.054
193       194      0.054
193       216      0.054
193       217      0.054
194       195      0.054
194       217      0.054
194       218      0.054
195       196      0.054
195       218      0.054
195       219      0.054
196       197      0.054
196       219      0.054
196       220      0.054
197       198      0.054
197       220      0.054
197       221      0.054
198       199      0.054
198       221      0.054
198       222      0.054
199       200      0.054
199       222      0.054
199       223      0.054
200       201      0.054
200       223      0.054
200       224      0.054
201       202      0.054
201       224      0.054
201       225      0.054
202       203      0.054
202       225      0.054
202       226      0.054
203       204      0.054
203       226      0.054
203       227      0.054
204       205      0.054
204       227      0.054
204       228      0.054
205       206      0.054
205       228      0.054
205       229      0.054
206       207      0.054
206       229      0.054
206       230      0.054
207       208      0.054
207       230      0.054
207       231      0.054
208       209      0.054
208       231      0.054
208       232      0.054
209       210      0.054
209       232      0.054
209       233      0.054
210       211      0.054
210       233      0.054
210       234      0.054
211       212      0.054
211       234      0.054
211       235      0.054
212       213      0.054
212       235      0.054
212       236      0.054
213       214      0.054
213       236      0.054
213       237      0.054
214       215      0.054
214       237      0.054
214       238      0.054
215       238      0.054
215       239      0.054
216       217      0.054
216       239      0.054
216       240      0.054
216       263      0.054
217       218      0.054
217       240      0.054
217       241      0.054
218       219      0.054
218       241      0.054
218       242      0.054
219       220      0.054
219       242      0.054
219       243      0.054
220       221      0.054
220       243      0.054
220       244      0.054
221       222      0.054
221       244      0.054
221       245      0.054
222       223      0.054
222       245      0.054
222       246      0.054
223       224      0.054
223       246      0.054
223       247      0.054
224       225      0.054
224       247      0.054
224       248      0.054
225       226      0.054
225       248      0.054
225       249      0.054
226       227      0.054
226       249      0.054
226       250      0.054
227       228      0.054
227       250      0.054
227       251      0.054
228       229      0.054
228       251      0.054
228       252      0.054
229       230      0.054
229       252      0.054
229       253      0.054
230       231      0.054
230       253      0.054
230       254      0.054
231       232      0.054
231       254      0.054
231       255      0.054
232       233      0.054
232       255      0.054
232       256      0.054
233       234      0.054
233       256      0.054
233       257      0.054
234       235      0.054
234       257      0.054
234       258      0.054
235       236      0.054
235       258      0.054
235       259      0.054
236       237      0.054
236       259      0.054
236       260      0.054
237       238      0.054
237       260      0.054
237       261      0.054
238       239      0.054
238       261      0.054
238       262      0.054
239       262      0.054
239       263      0.054
240       241      0.054
240       263      0.054
240       264      0.054
240       287      0.054
241       242      0.054
241       264      0.054
241       265      0.054
242       243      0.054
242       265      0.054
242       266      0.054
243       244      0.054
243       266      0.054
243       267      0.054
244       245      0.054
244       267      0.054
244       268      0.054
245       246      0.054
245       268      0.054
245       269      0.054
246       247      0.054
246       269      0.054
246       270      0.054
247       248      0.054
247       270      0.054
247       271      0.054
248       249      0.054
248       271      0.054
248       272      0.054
249       250      0.054
249       272      0.054
249       273      0.054
250       251      0.054
250       273      0.054
250       274      0.054
251       252      0.054
251       274      0.054
251       275      0.054
252       253      0.054
252       275      0.054
252       276      0.054
253       254      0.054
253       276      0.054
253       277      0.054
254       255      0.054
254       277      0.054
254       278      0.054
255       256      0.054
255       278      0.054
255       279      0.054
256       257      0.054
256       279      0.054
256       280      0.054
257       258      0.054
257       280      0.054
257       281      0.054
258       259      0.054
258       281      0.054
258       282      0.054
259       260      0.054
259       282      0.054
259       283      0.054
260       261      0.054
260       283      0.054
260       284      0.054
261       262      0.054
261       284      0.054
261       285      0.054
262       263      0.054
262       285      0.054
262       286      0.054
263       286      0.054
263       287      0.054
264       265      0.054
264       287      0.054
264       288      0.054
264       311      0.054
265       266      0.054
265       288      0.054
265       289      0.054
266       267      0.054
266       289      0.054
266       290      0.054
267       268      0.054
267       290      0.054
267       291      0.054
268       269      0.054
268       291      0.054
268       292      0.054
269       270      0.054
269       292      0.054
269       293      0.054
270       271      0.054
270       293      0.054
270       294      0.054
271       272      0.054
271       294      0.054
271       295      0.054
272       273      0.054
272       295      0.054
272       296      0.054
273       274      0.054
273       296      0.054
273       297      0.054
274       275      0.054
274       297      0.054
274       298      0.054
275       276      0.054
275       298      0.054
275       299      0.054
276       277      0.054
276       299      0.054
276       300      0.054
277       278      0.054
277       300      0.054
277       301      0.054
278       279      0.054
278       301      0.054
278       302      0.054
279       280      0.054
279       302      0.054
279       303      0.054
280       281      0.054
280       303      0.054
280       304      0.054
281       282      0.054
281       304      0.054
281       305      0.054
282       283      0.054
282       305      0.054
282       306      0.054
283       284      0.054
283       306      0.054
283       307      0.054
284       285      0.054
284       307      0.054
284       308      0.054
285       286      0.054
285       308      0.054
285       309      0.054
286       287      0.054
286       309      0.054
286       310      0.054
287       310      0.054
287       311      0.054
288       289      0.054
288       311      0.054
288       312      0.054
288       335      0.054
289       290      0.054
289       312      0.054
289       313      0.054
290       291      0.054
290       313      0.054
290       314      0.054
291       292      0.054
291       314      0.054
291       315      0.054
292       293      0.054
292       315      0.054
292       316      0.054
293       294      0.054
293       316      0.054
293       317      0.054
294       295      0.054
294       317      0.054
294       318      0.054
295       296      0.054
